check,observed,expected,source,pass
hourly_key_identity,"{(7786, -15), (8332, -9), (9955, -4), (2501, -14), (4711, -2), (4711, -1), (7786, -6), (4723, -10), (7862, -11), (7862, -2), (7862, -1), (8440, -16), (2052, -12), (5685, -8), (965, -9), (8440, -7), (8716, -14), (2052, -3), (8716, -5), (6098, -10), (8747, -9), (3997, -11), (3997, -2), (643, -15), (1432, -13), (3997, -1), (467, -12), (643, -6), (1432, -4), (152, -15), (467, -3), (152, -6), (783, -14), (6266, -12), (9955, -9), (6266, -3), (8332, -14), (7786, -11), (4711, -7), (8332, -5), (1580, -12), (4723, -15), (7862, -16), (1580, -3), (4723, -6), (7862, -7), (965, -14), (2052, -8), (965, -5), (3951, -10), (8716, -10), (6098, -15), (9825, -7), (6098, -6), (2435, -14), (3997, -16), (8747, -14), (2435, -5), (801, -10), (3997, -7), (643, -11), (1432, -9), (467, -8), (152, -11), (9955, -14), (152, -2), (152, -1), (6266, -8), (7786, -16), (4711, -12), (8332, -10), (9955, -5), (4711, -3), (1580, -8), (4723, -11), (3381, -6), (4723, -2), (4723, -1), (2052, -13), (965, -10), (3951, -15), (8716, -15), (2052, -4), (3951, -6), (8716, -6), (9825, -12), (6098, -11), (9825, -3), (2435, -10), (801, -15), (3997, -12), (801, -6), (1432, -14), (467, -13), (1432, -5), (152, -16), (467, -4), (152, -7), (6266, -13), (9955, -10), (8332, -15), (869, -15), (4711, -8), (869, -6), (8332, -6), (1580, -13), (4723, -16), (1580, -4), (3381, -11), (1165, -8), (3381, -2), (3381, -1), (965, -15), (9334, -7), (965, -6), (3951, -11), (8716, -11), (3951, -2), (3951, -1), (6098, -16), (9825, -8), (2435, -15), (2435, -6), (801, -11), (4007, -13), (801, -2), (801, -1), (1432, -10), (8384, -9), (4007, -4), (467, -9), (4711, -13), (869, -11), (8332, -11), (4711, -4), (869, -2), (869, -1), (1580, -9), (3381, -16), (1165, -13), (3381, -7), (1165, -4), (9334, -12), (965, -11), (3951, -16), (8716, -16), (9334, -3), (3951, -7), (6663, -14), (9825, -13), (6663, -5), (9825, -4), (2435, -11), (801, -16), (8384, -14), (801, -7), (4007, -9), (8384, -5), (467, -14), (6266, -16), (2103, -9), (869, -16), (869, -7), (1580, -14), (3381, -12), (1165, -9), (3381, -3), (965, -16), (9334, -8), (3951, -12), (6663, -10), (9825, -9), (2435, -16), (488, -5), (801, -12), (4007, -14), (8384, -10), (4007, -5), (3349, -5), (2103, -14), (2103, -5), (869, -12), (869, -3), (1165, -14), (1165, -5), (518, -5), (9334, -13), (9334, -4), (7669, -15), (2467, -7), (6663, -15), (7669, -6), (6663, -6), (488, -10), (8384, -15), (4007, -10), (8384, -6), (3349, -10), (2103, -10), (1320, -5), (1666, -15), (1165, -10), (1666, -6), (3269, -7), (518, -10), (9334, -9), (2467, -12), (7669, -11), (2467, -3), (6663, -11), (7669, -2), (7669, -1), (488, -15), (488, -6), (4007, -15), (8384, -11), (3349, -15), (2501, -5), (3349, -6), (2103, -15), (2103, -6), (2000, -13), (1320, -10), (2000, -4), (1165, -15), (1666, -11), (3269, -12), (518, -15), (1666, -2), (1666, -1), (3269, -3), (518, -6), (9334, -14), (7669, -16), (2467, -8), (6663, -16), (7669, -7), (9428, -11), (488, -11), (9428, -2), (488, -2), (488, -1), (783, -5), (9428, -1), (2501, -10), (7786, -2), (3349, -11), (7786, -1), (3349, -2), (3349, -1), (2103, -11), (1320, -15), (5685, -13), (8440, -12), (2000, -9), (1320, -6), (5685, -4), (8440, -3), (1666, -16), (1666, -7), (3269, -8), (518, -11), (518, -2), (518, -1), (8747, -5), (2467, -13), (7669, -12), (2467, -4), (7669, -3), (643, -2), (643, -1), (9428, -16), (488, -16), (9428, -7), (488, -7), (783, -10), (2501, -15), (7786, -7), (3349, -16), (2501, -6), (3349, -7), (7862, -12), (7862, -3), (2000, -14), (1320, -11), (5685, -9), (8440, -8), (9428, -15), (2000, -5), (1320, -2), (1320, -1), (1666, -12), (3269, -13), (518, -16), (3269, -4), (518, -7), (6098, -2), (6098, -1), (8747, -10), (3997, -3), (643, -16), (2467, -9), (643, -7), (9428, -12), (783, -15), (6266, -4), (783, -6), (9428, -3), (7786, -12), (2501, -11), (7786, -3), (2501, -2), (2501, -1), (4723, -7), (7862, -8), (1320, -16), (5685, -14), (8440, -13), (2000, -10), (1320, -7), (2052, -9), (5685, -5), (8440, -4), (8716, -2), (8716, -1), (3269, -9), (6098, -7), (8747, -15), (8747, -6), (3997, -8), (643, -12), (643, -3), (152, -12), (9955, -15), (152, -3), (783, -11), (6266, -9), (9428, -8), (9955, -6), (783, -2), (783, -1), (2501, -16), (7786, -8), (8332, -2), (8332, -1), (2501, -7), (4723, -12), (7862, -13), (4723, -3), (7862, -4), (2000, -15), (2052, -14), (5685, -10), (8440, -9), (2052, -5), (965, -1), (965, -2), (8716, -7), (6098, -12), (6098, -3), (8747, -11), (3997, -13), (2435, -2), (2435, -1), (1432, -15), (3997, -4), (8747, -2), (8747, -1), (643, -8), (1432, -6), (467, -5), (152, -8), (783, -16), (6266, -14), (9428, -13), (9955, -11), (6266, -5), (783, -7), (8332, -16), (7786, -13), (4711, -9), (8332, -7), (9955, -2), (9955, -1), (2501, -12), (7786, -4), (1580, -5), (4723, -8), (7862, -9), (5685, -15), (8440, -14), (2052, -10), (965, -7), (8716, -12), (3951, -3), (8716, -3), (6098, -8), (8747, -16), (2435, -7), (3997, -9), (8747, -7), (801, -3), (643, -13), (1432, -11), (467, -10), (1432, -2), (1432, -1), (152, -13), (9955, -16), (152, -4), (783, -12), (6266, -10), (9955, -7), (4711, -14), (8332, -12), (4711, -5), (8332, -3), (1580, -10), (4723, -13), (7862, -14), (3381, -8), (4723, -4), (2052, -15), (965, -12), (2052, -6), (965, -3), (3951, -8), (8716, -8), (9825, -14), (6098, -13), (9825, -5), (6098, -4), (2435, -12), (3997, -14), (8747, -12), (2435, -3), (801, -8), (1432, -16), (3997, -5), (467, -15), (1432, -7), (467, -6), (152, -9), (6266, -15), (9955, -12), (4711, -10), (869, -8), (8332, -8), (1580, -15), (1580, -6), (3381, -13), (4723, -9), (3381, -4), (2052, -11), (965, -8), (3951, -13), (8716, -13), (3951, -4), (8716, -4), (9825, -10), (6663, -2), (6663, -1), (2435, -8), (801, -13), (801, -4), (1432, -12), (4007, -6), (8384, -2), (467, -11), (8384, -1), (152, -14), (467, -2), (467, -1), (4711, -15), (869, -13), (8332, -13), (4711, -6), (869, -4), (1580, -11), (1580, -2), (1580, -1), (3381, -9), (1165, -6), (965, -13), (9334, -5), (965, -4), (3951, -9), (8716, -9), (9825, -15), (6663, -7), (9825, -6), (2435, -13), (2435, -4), (801, -9), (8384, -16), (4007, -11), (8384, -7), (467, -16), (4007, -2), (4007, -1), (467, -7), (2103, -2), (2103, -1), (4711, -11), (869, -9), (1580, -16), (1580, -7), (3381, -14), (1165, -11), (3381, -5), (1165, -2), (1165, -1), (9334, -10), (3951, -14), (3951, -5), (6663, -12), (9825, -11), (6663, -3), (9825, -2), (9825, -1), (2435, -9), (801, -14), (4007, -16), (801, -5), (8384, -12), (4007, -7), (8384, -3), (2103, -16), (2103, -7), (4711, -16), (869, -14), (869, -5), (1165, -16), (3381, -10), (1165, -7), (1666, -3), (9334, -15), (9334, -6), (9825, -16), (7669, -8), (6663, -8), (488, -12), (488, -3), (4007, -12), (8384, -8), (3349, -12), (4007, -3), (3349, -3), (2103, -12), (2103, -3), (869, -10), (3381, -15), (1165, -12), (1666, -8), (518, -12), (1165, -3), (518, -3), (9334, -11), (9334, -2), (9334, -1), (2467, -14), (7669, -13), (2467, -5), (6663, -13), (7669, -4), (6663, -4), (488, -8), (8384, -13), (4007, -8), (8384, -4), (3349, -8), (2103, -8), (1320, -12), (2000, -6), (1320, -3), (1666, -13), (3269, -14), (1666, -4), (3269, -5), (518, -8), (9334, -16), (2467, -10), (7669, -9), (6663, -9), (488, -13), (9428, -4), (488, -4), (3349, -13), (2501, -3), (3349, -4), (2103, -13), (2103, -4), (2000, -11), (1320, -8), (5685, -6), (8440, -5), (2000, -2), (2000, -1), (1666, -9), (3269, -10), (518, -13), (518, -4), (2467, -15), (7669, -14), (2467, -6), (7669, -5), (643, -4), (9428, -9), (488, -9), (783, -3), (7786, -9), (2501, -8), (3349, -9), (7862, -5), (2000, -16), (1320, -13), (5685, -11), (8440, -10), (2000, -7), (1320, -4), (5685, -2), (5685, -1), (9428, -6), (1666, -14), (3269, -15), (1666, -5), (3269, -6), (518, -9), (8747, -3), (2467, -11), (7669, -10), (643, -9), (2467, -2), (2467, -1), (9428, -14), (488, -14), (6266, -6), (783, -8), (9428, -5), (7786, -14), (9955, -3), (2501, -13), (7786, -5), (3349, -14), (2501, -4), (7862, -10), (5685, -16), (8440, -15), (2000, -12), (1320, -9), (5685, -7), (8440, -6), (2000, -3), (2052, -2), (2052, -1), (1666, -10), (3269, -11), (518, -14), (6098, -9), (3269, -2), (3269, -1), (8747, -8), (3997, -10), (2467, -16), (643, -14), (643, -5), (1432, -3), (152, -5), (783, -13), (6266, -11), (9428, -10), (9955, -8), (6266, -2), (783, -4), (6266, -1), (7786, -10), (8332, -4), (2501, -9), (4723, -14), (7862, -15), (4723, -5), (7862, -6), (1320, -14), (2052, -16), (5685, -12), (8440, -11), (2000, -8), (2052, -7), (5685, -3), (8440, -2), (8440, -1), (3269, -16), (6098, -14), (6098, -5), (8747, -13), (3997, -15), (8747, -4), (3997, -6), (643, -10), (1432, -8), (152, -10), (9955, -13), (6266, -7), (783, -9)}","{(7786, -15), (9955, -4), (8332, -9), (2501, -14), (7786, -6), (4711, -2), (4711, -1), (4723, -10), (7862, -11), (7862, -2), (7862, -1), (8440, -16), (5685, -8), (8440, -7), (965, -9), (2052, -12), (8716, -14), (2052, -3), (8716, -5), (6098, -10), (8747, -9), (3997, -11), (3997, -2), (643, -15), (1432, -13), (3997, -1), (643, -6), (1432, -4), (467, -12), (152, -15), (467, -3), (152, -6), (783, -14), (6266, -12), (9955, -9), (8332, -14), (6266, -3), (7786, -11), (4711, -7), (8332, -5), (1580, -12), (7862, -16), (4723, -15), (1580, -3), (7862, -7), (4723, -6), (965, -14), (2052, -8), (965, -5), (3951, -10), (8716, -10), (6098, -15), (9825, -7), (6098, -6), (2435, -14), (3997, -16), (8747, -14), (2435, -5), (3997, -7), (801, -10), (1432, -9), (643, -11), (467, -8), (152, -11), (9955, -14), (6266, -8), (152, -2), (152, -1), (9955, -5), (8332, -10), (7786, -16), (4711, -12), (4711, -3), (1580, -8), (4723, -11), (3381, -6), (4723, -2), (4723, -1), (2052, -13), (965, -10), (3951, -15), (8716, -15), (2052, -4), (3951, -6), (8716, -6), (9825, -12), (6098, -11), (9825, -3), (2435, -10), (801, -15), (3997, -12), (801, -6), (1432, -14), (467, -13), (1432, -5), (152, -16), (467, -4), (152, -7), (6266, -13), (9955, -10), (8332, -15), (869, -15), (4711, -8), (869, -6), (8332, -6), (1580, -13), (4723, -16), (1580, -4), (3381, -11), (1165, -8), (3381, -2), (3381, -1), (965, -15), (9334, -7), (965, -6), (3951, -11), (8716, -11), (3951, -1), (3951, -2), (6098, -16), (9825, -8), (2435, -15), (2435, -6), (801, -11), (4007, -13), (801, -2), (801, -1), (1432, -10), (8384, -9), (4007, -4), (467, -9), (8332, -11), (4711, -13), (869, -11), (4711, -4), (869, -2), (869, -1), (1580, -9), (3381, -16), (1165, -13), (3381, -7), (1165, -4), (9334, -12), (3951, -16), (965, -11), (9334, -3), (8716, -16), (3951, -7), (6663, -14), (9825, -13), (9825, -4), (6663, -5), (2435, -11), (801, -16), (8384, -14), (801, -7), (8384, -5), (4007, -9), (467, -14), (6266, -16), (2103, -9), (869, -16), (869, -7), (1580, -14), (3381, -12), (1165, -9), (3381, -3), (965, -16), (9334, -8), (3951, -12), (6663, -10), (9825, -9), (2435, -16), (488, -5), (801, -12), (4007, -14), (8384, -10), (4007, -5), (3349, -5), (2103, -14), (2103, -5), (869, -12), (869, -3), (1165, -14), (1165, -5), (518, -5), (9334, -13), (9334, -4), (7669, -15), (2467, -7), (6663, -15), (7669, -6), (6663, -6), (488, -10), (8384, -15), (8384, -6), (4007, -10), (3349, -10), (2103, -10), (1320, -5), (1666, -15), (1165, -10), (1666, -6), (3269, -7), (518, -10), (9334, -9), (2467, -12), (7669, -11), (2467, -3), (6663, -11), (7669, -2), (7669, -1), (488, -15), (488, -6), (4007, -15), (8384, -11), (3349, -15), (2501, -5), (3349, -6), (2103, -15), (2103, -6), (2000, -13), (1320, -10), (2000, -4), (1165, -15), (1666, -11), (3269, -12), (518, -15), (1666, -2), (1666, -1), (3269, -3), (518, -6), (9334, -14), (7669, -16), (2467, -8), (6663, -16), (7669, -7), (9428, -11), (488, -11), (9428, -2), (488, -2), (488, -1), (9428, -1), (783, -5), (2501, -10), (7786, -2), (7786, -1), (3349, -11), (3349, -2), (3349, -1), (2103, -11), (1320, -15), (5685, -13), (8440, -12), (2000, -9), (5685, -4), (1320, -6), (8440, -3), (1666, -16), (1666, -7), (3269, -8), (518, -11), (518, -2), (518, -1), (8747, -5), (2467, -13), (7669, -12), (2467, -4), (7669, -3), (643, -2), (643, -1), (9428, -16), (488, -16), (9428, -7), (488, -7), (783, -10), (2501, -15), (7786, -7), (3349, -16), (2501, -6), (3349, -7), (7862, -12), (7862, -3), (2000, -14), (1320, -11), (8440, -8), (5685, -9), (2000, -5), (1320, -2), (1320, -1), (1666, -12), (3269, -13), (518, -16), (3269, -4), (518, -7), (6098, -2), (6098, -1), (8747, -10), (3997, -3), (643, -16), (2467, -9), (643, -7), (9428, -12), (783, -15), (6266, -4), (9428, -3), (783, -6), (7786, -12), (2501, -11), (7786, -3), (2501, -2), (2501, -1), (152, -10), (7862, -8), (4723, -7), (1320, -16), (5685, -14), (8440, -13), (2000, -10), (1320, -7), (5685, -5), (8440, -4), (2052, -9), (8716, -2), (8716, -1), (3269, -9), (6098, -7), (8747, -15), (8747, -6), (3997, -8), (643, -12), (643, -3), (152, -12), (9955, -15), (9428, -8), (152, -3), (783, -11), (6266, -9), (9955, -6), (783, -2), (783, -1), (2501, -16), (7786, -8), (8332, -2), (8332, -1), (2501, -7), (4723, -12), (7862, -13), (7862, -4), (4723, -3), (2000, -15), (2052, -14), (8440, -9), (5685, -10), (2052, -5), (965, -2), (965, -1), (8716, -7), (6098, -12), (6098, -3), (8747, -11), (3997, -13), (2435, -2), (8747, -2), (2435, -1), (8747, -1), (1432, -15), (3997, -4), (643, -8), (1432, -6), (467, -5), (152, -8), (783, -16), (6266, -14), (9428, -13), (9955, -11), (8332, -16), (6266, -5), (783, -7), (7786, -13), (8332, -7), (9955, -2), (9955, -1), (4711, -9), (2501, -12), (7786, -4), (1580, -5), (4723, -8), (7862, -9), (5685, -15), (8440, -14), (2052, -10), (965, -7), (8716, -12), (3951, -3), (8716, -3), (6098, -8), (8747, -16), (2435, -7), (8747, -7), (3997, -9), (801, -3), (643, -13), (1432, -11), (467, -10), (1432, -2), (1432, -1), (152, -13), (9955, -16), (152, -4), (783, -12), (6266, -10), (9955, -7), (8332, -12), (4711, -14), (4711, -5), (8332, -3), (1580, -10), (4723, -13), (7862, -14), (3381, -8), (4723, -4), (2052, -15), (965, -12), (2052, -6), (965, -3), (3951, -8), (8716, -8), (9825, -14), (6098, -13), (9825, -5), (6098, -4), (2435, -12), (3997, -14), (8747, -12), (2435, -3), (801, -8), (1432, -16), (3997, -5), (467, -15), (1432, -7), (467, -6), (6266, -15), (152, -9), (9955, -12), (8332, -8), (869, -8), (4711, -10), (1580, -15), (1580, -6), (3381, -13), (4723, -9), (3381, -4), (2052, -11), (3951, -13), (965, -8), (8716, -13), (3951, -4), (8716, -4), (9825, -10), (6663, -2), (6663, -1), (2435, -8), (801, -13), (801, -4), (1432, -12), (4007, -6), (8384, -2), (467, -11), (8384, -1), (152, -14), (467, -2), (467, -1), (8332, -13), (4711, -15), (869, -13), (4711, -6), (869, -4), (1580, -11), (1580, -2), (1580, -1), (3381, -9), (1165, -6), (965, -13), (9334, -5), (965, -4), (3951, -9), (8716, -9), (9825, -15), (6663, -7), (9825, -6), (2435, -13), (8384, -16), (2435, -4), (801, -9), (8384, -7), (4007, -11), (467, -16), (4007, -2), (6266, -7), (467, -7), (4007, -1), (2103, -2), (2103, -1), (4711, -11), (869, -9), (1580, -16), (1580, -7), (3381, -14), (1165, -11), (3381, -5), (1165, -2), (1165, -1), (9334, -10), (3951, -14), (3951, -5), (6663, -12), (9825, -11), (6663, -3), (9825, -2), (9825, -1), (2435, -9), (801, -14), (4007, -16), (801, -5), (8384, -12), (4007, -7), (8384, -3), (2103, -16), (2103, -7), (4711, -16), (869, -14), (869, -5), (1165, -16), (3381, -10), (1165, -7), (1666, -3), (9334, -15), (9334, -6), (9825, -16), (7669, -8), (6663, -8), (488, -12), (488, -3), (8384, -8), (4007, -12), (4007, -3), (3349, -12), (3349, -3), (2103, -12), (2103, -3), (869, -10), (3381, -15), (1165, -12), (1666, -8), (1165, -3), (518, -12), (9334, -11), (518, -3), (9334, -2), (9334, -1), (2467, -14), (7669, -13), (2467, -5), (6663, -13), (7669, -4), (6663, -4), (488, -8), (8384, -13), (4007, -8), (8384, -4), (3349, -8), (2103, -8), (1320, -12), (2000, -6), (1320, -3), (1666, -13), (3269, -14), (1666, -4), (3269, -5), (9334, -16), (518, -8), (2467, -10), (7669, -9), (6663, -9), (488, -13), (9428, -4), (488, -4), (3349, -13), (2501, -3), (3349, -4), (2103, -13), (2103, -4), (2000, -11), (1320, -8), (5685, -6), (8440, -5), (2000, -2), (2000, -1), (1666, -9), (3269, -10), (518, -13), (518, -4), (2467, -15), (7669, -14), (2467, -6), (7669, -5), (643, -4), (9428, -9), (488, -9), (783, -3), (7786, -9), (2501, -8), (3349, -9), (7862, -5), (2000, -16), (1320, -13), (8440, -10), (5685, -11), (2000, -7), (1320, -4), (5685, -2), (5685, -1), (1666, -14), (3269, -15), (1666, -5), (3269, -6), (518, -9), (8747, -3), (2467, -11), (7669, -10), (643, -9), (2467, -2), (2467, -1), (9428, -14), (488, -14), (6266, -6), (9428, -5), (783, -8), (7786, -14), (9955, -3), (2501, -13), (7786, -5), (3349, -14), (2501, -4), (7862, -10), (5685, -16), (8440, -15), (2000, -12), (1320, -9), (5685, -7), (8440, -6), (2000, -3), (2052, -2), (2052, -1), (1666, -10), (3269, -11), (6098, -9), (518, -14), (3269, -2), (3269, -1), (8747, -8), (3997, -10), (2467, -16), (643, -14), (643, -5), (1432, -3), (152, -5), (783, -13), (6266, -11), (9428, -10), (9955, -8), (6266, -2), (6266, -1), (783, -4), (7786, -10), (8332, -4), (2501, -9), (4723, -14), (7862, -15), (7862, -6), (4723, -5), (1320, -14), (8440, -11), (2052, -16), (5685, -12), (2000, -8), (2052, -7), (5685, -3), (8440, -2), (8440, -1), (3269, -16), (6098, -14), (6098, -5), (8747, -13), (3997, -15), (8747, -4), (3997, -6), (1432, -8), (643, -10), (9428, -15), (9955, -13), (9428, -6), (783, -9)}",hour keys,True
each_path_16_real_hours,16,16,G2 hourly,True
no_padded_hours,"[-16, -1]","[-16, -1]",G2 hourly,True
effective_pmax_reconstruction,1.9326762412674725e-11,<=1e-5,Stage89Q-G profiles,True
profile_max_new_identity,0.0,<=1e-5,Stage89Q-G profiles,True
base_increment_conversion,1.93267624127e-11,0,independent conversion,True
full_ratio,0.8139204545454546,0.813920454545,G2 hourly,True
voltage_ratio,0.18607954545454544,0.186079545455,G2 hourly,True
branch_limited_zero,0,0,G2 hourly,True
substation_limited_zero,0,0,G2 hourly,True
required_and_grid_extra_formula,True,True,independent event recomposition,True
hourly_evaluator_classification,True,True,independent event recomposition,True
cumulative_kg_cross_check,True,True,independent event recomposition,True
all_events_identifiable,48,48,G2 events,True
required_alpha_bounds,"[0.0271656360684, 0.997727062564]","[0,1]",G2 events,True
event_classification_complete,48,48,G2 events,True
checkpoint_summary_-16,"[31, 27, 4]","[31, 27, 4]",event aggregation,True
checkpoint_summary_-8,"[9, 9, 0]","[9, 9, 0]",event aggregation,True
checkpoint_summary_-4,"[8, 3, 5]","[8, 3, 5]",event aggregation,True
failure_summary_rows,"{'pure_quantity', 'mixed', 'pure_location'}","{'pure_quantity', 'mixed', 'pure_location'}",failure summary,True
tail_definitions_preserved,"{'normal95', 'extreme1', 'difficult4'}","{'normal95', 'extreme1', 'difficult4'}",Stage89Q tail labels,True
normal95_zero_row,"[0, 0]","[0, 0]",tail summary,True
clipping_count,131,131,hourly aggregation,True
clipping_missing_mean,37.5,37.5,hourly aggregation,True
clipped_hours_inside_supported_windows,95,95,independent event-hour join,True
partially_clipped_supported_events,26,26,independent event aggregation,True
bus18_clipped_hours,131,131,G2 hourly,True
bus18_lost_event_rows,9,9,bus18 mechanism,True
bus18_lost_event_identity,"{8384, 8440, 4711, 7786, 1580, 9428, 3349, 1432, 3997}","{8384, 8440, 4711, 7786, 1580, 9428, 3349, 1432, 3997}",bus18 mechanism,True
bus18_voltage_fields,"[0.9, 0]",V18>=0.9 and shortfall=0,bus18 mechanism,True
final_status_retention_present,STRONG,enumerated,final status,True
recommendation_enumerated,YES,YES/NO/NEEDS_MORE_GRID_DIAGNOSTIC,final status,True
no_forbidden_solver_or_random_import,[],[],main analyzer AST,True
figure_count,12,12,figure directory,True
contact_sheet_present,True,True,figure directory,True
lightweight_extensions_only,"['.csv', '.md', '.png']","['.csv', '.md', '.png']",accepted output tree,True
